company_id,company_name,industry,country,start_date
1,English and Sons,Education,Costa Rica,7/9/2025
2,Watkins-Ewing,Retail,Saint Helena,7/5/2020
3,Nelson and Sons,Electronics,Heard Island and McDonald Islands,3/9/2019
4,"Stevens, Sherman and Johnson",Electronics,Martinique,10/8/2021
5,Garcia-Alexander,Retail,French Polynesia,12/10/2023
6,Gibbs Inc,Electronics,Guadeloupe,11/10/2022
7,"Hall, Hendricks and Johnson",Education,Tajikistan,12/30/2019
8,Flores-Martin,Electronics,Ghana,9/25/2022
9,Rodriguez Inc,Retail,El Salvador,1/30/2017
10,Peterson Group,Education,Uzbekistan,10/23/2016
